i,vx,vy
-0.012,0.3615,-0.163
-0.021,0.352,-0.164
-0.025,0.344,-0.1655
-0.0255,0.338,-0.1665
-0.0325,0.331,-0.166
-0.0335,0.326,-0.1665
-0.0385,0.3205,-0.1685
-0.0475,0.3145,-0.167
-0.0535,0.309,-0.168
-0.0575,0.3015,-0.168
-0.06,0.2945,-0.1705
-0.064,0.287,-0.175
-0.0715,0.277,-0.176
-0.0815,0.2665,-0.18
-0.088,0.2585,-0.183
-0.0915,0.253,-0.1835
-0.097,0.2465,-0.187
-0.0965,0.2425,-0.1895
-0.097,0.238,-0.188
-0.1095,0.221,-0.188
-0.112,0.212,-0.1875
-0.116,0.208,-0.1895
-0.1205,0.201,-0.194
-0.1165,0.1965,-0.1975
-0.1255,0.1885,-0.198
-0.1375,0.181,-0.196
-0.146,0.174,-0.195
-0.15,0.1665,-0.197
-0.151,0.1595,-0.2025
-0.1545,0.157,-0.204
-0.158,0.1555,-0.204
-0.16,0.1505,-0.2085
-0.1595,0.1435,-0.211
-0.163,0.1385,-0.21
-0.168,0.1335,-0.211
-0.167,0.129,-0.2125
-0.172,0.126,-0.2135
-0.1795,0.122,-0.2145
-0.181,0.119,-0.2165
-0.1805,0.114,-0.2175
-0.18,0.11,-0.218
-0.1825,0.108,-0.219
-0.1805,0.105,-0.219
-0.1835,0.1045,-0.22
-0.191,0.104,-0.22
-0.189,0.1005,-0.221
-0.1905,0.0985,-0.2245
-0.193,0.0965,-0.226
-0.1945,0.0945,-0.227
-0.1965,0.0915,-0.2295
-0.2015,0.089,-0.2285
-0.2045,0.0855,-0.231
-0.203,0.0825,-0.234
-0.2015,0.0815,-0.2335
-0.199,0.084,-0.2325
-0.1985,0.0845,-0.233
-0.1995,0.0835,-0.2335
-0.2035,0.081,-0.232
-0.2075,0.075,-0.235
-0.2075,0.0755,-0.2385
-0.208,0.074,-0.237
-0.206,0.0715,-0.237
-0.207,0.0715,-0.2385
-0.2055,0.0695,-0.239
-0.201,0.0695,-0.2405
-0.201,0.0705,-0.241
-0.2,0.0715,-0.241
-0.2005,0.069,-0.239
-0.2025,0.0655,-0.2395
-0.2055,0.0675,-0.2405
-0.209,0.065,-0.241
-0.213,0.0615,-0.2425
-0.218,0.0605,-0.243
-0.2145,0.0625,-0.2455
-0.21,0.065,-0.244
-0.2105,0.0645,-0.2445
-0.212,0.062,-0.2445
-0.2125,0.063,-0.2445
-0.208,0.063,-0.2445
-0.2035,0.058,-0.246
-0.207,0.0575,-0.248
-0.2145,0.0565,-0.248
-0.2115,0.0595,-0.248
-0.2055,0.0605,-0.2475
-0.2085,0.0575,-0.2495
-0.209,0.0595,-0.248
-0.2075,0.0605,-0.246
-0.206,0.0595,-0.245
-0.199,0.0595,-0.245
-0.2045,0.0615,-0.2445
-0.2105,0.0575,-0.244
-0.2085,0.0535,-0.243
-0.211,0.054,-0.2425
-0.214,0.0515,-0.2445
-0.211,0.0495,-0.243
-0.2085,0.0495,-0.244
-0.2125,0.048,-0.245
-0.212,0.05,-0.2455
-0.209,0.0525,-0.2475
-0.212,0.048,-0.2475
