i,vx,vy
0.124,0.231,0.2
0.1235,0.2285,0.1965
0.127,0.2275,0.1955
0.1175,0.2205,0.196
0.1105,0.214,0.196
0.1125,0.209,0.191
0.111,0.2025,0.185
0.104,0.1955,0.1805
0.099,0.1915,0.182
0.097,0.186,0.1795
0.0895,0.1805,0.173
0.088,0.1755,0.171
0.0885,0.1685,0.166
0.084,0.162,0.1645
0.076,0.1545,0.1605
0.068,0.1455,0.1545
0.0685,0.14,0.1555
0.0645,0.1335,0.153
0.0565,0.1245,0.144
0.0495,0.1175,0.1365
0.043,0.1095,0.1335
0.036,0.102,0.1285
0.031,0.096,0.126
0.0305,0.09,0.1245
0.0325,0.085,0.12
0.031,0.078,0.1195
0.0205,0.0705,0.1145
0.014,0.0635,0.112
0.0075,0.057,0.1115
0.0035,0.0525,0.1025
0.002,0.047,0.098
-0.0045,0.042,0.093
-0.0075,0.036,0.084
-0.0145,0.028,0.082
-0.016,0.0235,0.079
-0.0135,0.018,0.0765
-0.022,0.011,0.078
-0.031,0.006,0.075
-0.032,-0.001,0.068
-0.0325,-0.0055,0.063
-0.037,-0.01,0.062
-0.0375,-0.014,0.0615
-0.0425,-0.0165,0.0545
-0.0465,-0.02,0.0535
-0.0415,-0.023,0.058
-0.041,-0.026,0.057
-0.0445,-0.031,0.054
-0.0475,-0.036,0.0555
-0.0505,-0.0395,0.0605
-0.052,-0.0395,0.0525
-0.0515,-0.0425,0.046
-0.05,-0.048,0.042
-0.055,-0.052,0.0365
-0.0585,-0.056,0.036
-0.056,-0.056,0.0335
-0.055,-0.0565,0.029
-0.0595,-0.0585,0.028
-0.065,-0.061,0.03
-0.0655,-0.065,0.028
-0.0645,-0.068,0.027
-0.0615,-0.07,0.0225
-0.0645,-0.07,0.022
-0.0725,-0.0725,0.0215
-0.073,-0.074,0.0165
-0.074,-0.075,0.019
-0.0795,-0.0765,0.0195
-0.0755,-0.0785,0.0215
-0.0705,-0.0795,0.0265
-0.0705,-0.0795,0.0295
-0.069,-0.0785,0.027
-0.0685,-0.0785,0.023
-0.067,-0.08,0.0195
-0.069,-0.081,0.014
-0.0685,-0.0815,0.014
-0.0665,-0.079,0.0145
-0.075,-0.081,0.0075
-0.073,-0.0825,0.009
-0.07,-0.082,0.018
-0.07,-0.0835,0.0215
-0.0735,-0.084,0.02
-0.079,-0.087,0.0175
-0.078,-0.086,0.0195
-0.079,-0.0845,0.022
-0.075,-0.086,0.024
-0.0725,-0.0855,0.0225
-0.072,-0.086,0.0145
-0.07,-0.0865,0.009
-0.077,-0.0865,0.008
-0.0795,-0.088,0.0115
-0.0805,-0.0875,0.0105
-0.079,-0.0855,0.004
-0.0765,-0.0855,-0.0015
-0.08,-0.086,-0.0035
-0.082,-0.0895,0.001
-0.0835,-0.091,0.0005
-0.0785,-0.0885,0.0015
-0.073,-0.0845,0.008
-0.0715,-0.085,0.0155
-0.074,-0.0865,0.021
-0.083,-0.088,0.017
-0.086,-0.0895,0.015
-0.0815,-0.086,0.0175
-0.0825,-0.085,0.016
-0.0835,-0.0845,0.0175
-0.087,-0.085,0.017
-0.088,-0.087,0.0175
-0.079,-0.0845,0.02
-0.077,-0.0835,0.0155
-0.0775,-0.083,0.016
-0.0745,-0.0815,0.015
-0.075,-0.0815,0.0105
-0.0735,-0.081,0.009
-0.0765,-0.0825,0.012
-0.0785,-0.082,0.014
-0.077,-0.0815,0.0105
-0.0785,-0.083,0.0145
-0.0805,-0.0835,0.0215
-0.0795,-0.0825,0.0235
-0.075,-0.0795,0.0205
-0.0755,-0.081,0.016
-0.0755,-0.083,0.017
-0.0775,-0.0835,0.0195
-0.082,-0.0855,0.0215
-0.0795,-0.0845,0.0305
-0.079,-0.0825,0.0355
-0.074,-0.0825,0.0305
-0.075,-0.082,0.025
-0.078,-0.0835,0.024
-0.072,-0.083,0.0305
-0.074,-0.084,0.031
-0.0765,-0.0855,0.028
-0.077,-0.076,0.0235
-0.075,-0.077,0.0205
-0.0745,-0.082,0.023
-0.0785,-0.0805,0.0235
-0.082,-0.0825,0.0205
-0.0805,-0.0815,0.0195
-0.0785,-0.081,0.0225
-0.077,-0.0805,0.0195
-0.075,-0.0805,0.0235
-0.0745,-0.0805,0.0325
-0.0755,-0.0815,0.0355
-0.08,-0.0825,0.036
-0.0795,-0.08,0.034
-0.077,-0.079,0.0295
-0.076,-0.0785,0.026
-0.0765,-0.0785,0.0265
-0.079,-0.0795,0.027
-0.079,-0.0795,0.0295
-0.079,-0.0775,0.0315
-0.077,-0.0765,0.0295
-0.074,-0.0775,0.025
-0.0715,-0.078,0.03
-0.072,-0.0785,0.033
-0.072,-0.0785,0.0295
-0.072,-0.0785,0.035
-0.0745,-0.077,0.0395
-0.0735,-0.078,0.0335
-0.073,-0.078,0.0295
-0.075,-0.079,0.0315
-0.0755,-0.0815,0.0275
-0.073,-0.0805,0.03
-0.0765,-0.081,0.0325
-0.078,-0.0795,0.029
-0.0725,-0.0785,0.0285
-0.0725,-0.0785,0.0275
-0.0735,-0.08,0.0275
-0.077,-0.0825,0.024
-0.0785,-0.083,0.025
-0.0765,-0.0825,0.0265
-0.0745,-0.0815,0.0255
-0.0765,-0.0825,0.0265
-0.0815,-0.084,0.0255
-0.0815,-0.084,0.0265
-0.079,-0.0825,0.0265
-0.079,-0.0835,0.0275
-0.0815,-0.085,0.029
-0.08,-0.085,0.0305
-0.077,-0.084,0.0325
-0.0775,-0.0835,0.034
-0.0765,-0.086,0.035
-0.0745,-0.0845,0.0345
-0.0735,-0.084,0.0335
-0.0735,-0.083,0.0295
-0.0725,-0.0815,0.0285
-0.071,-0.0825,0.0305
-0.074,-0.083,0.0285
-0.0745,-0.0835,0.0315
-0.076,-0.0825,0.04
-0.076,-0.0835,0.039
-0.0755,-0.0825,0.035
-0.0815,-0.0815,0.029
-0.081,-0.083,0.0235
-0.0775,-0.0835,0.0295
-0.076,-0.083,0.0315
-0.077,-0.0815,0.029
-0.0775,-0.0825,0.028
-0.073,-0.082,0.033
-0.0715,-0.081,0.034
-0.073,-0.0825,0.033
-0.075,-0.0835,0.0305
-0.0765,-0.086,0.0285
-0.079,-0.087,0.0335
-0.0745,-0.0845,0.03
-0.072,-0.0835,0.031
-0.078,-0.0855,0.0295
-0.076,-0.0865,0.0265
-0.073,-0.0855,0.0265
-0.072,-0.0855,0.029
-0.073,-0.0865,0.034
-0.071,-0.088,0.035
-0.075,-0.0895,0.0325
-0.08,-0.091,0.0265
-0.079,-0.092,0.025
-0.084,-0.0915,0.0245
-0.0865,-0.089,0.023
-0.084,-0.089,0.021
-0.0805,-0.089,0.0185
-0.08,-0.0895,0.0175
-0.079,-0.091,0.0185
-0.0805,-0.093,0.021
-0.0835,-0.095,0.0235
-0.085,-0.094,0.027
-0.083,-0.094,0.0245
-0.0835,-0.094,0.021
-0.089,-0.0945,0.0195
-0.089,-0.097,0.0205
-0.0875,-0.0965,0.024
-0.089,-0.0965,0.025
-0.09,-0.0975,0.0195
-0.09,-0.0985,0.016
-0.0905,-0.0985,0.017
-0.089,-0.0975,0.0145
-0.0895,-0.0995,0.0165
-0.0885,-0.1,0.018
-0.0805,-0.098,0.023
-0.0775,-0.0985,0.026
-0.079,-0.098,0.02
-0.0835,-0.1,0.0175
-0.09,-0.102,0.018
-0.088,-0.1015,0.0235
-0.0865,-0.103,0.026
-0.088,-0.103,0.0255
-0.0845,-0.1025,0.0255
-0.082,-0.101,0.026
-0.083,-0.103,0.0265
-0.0905,-0.106,0.0205
-0.0975,-0.1075,0.0155
-0.0935,-0.106,0.017
-0.089,-0.104,0.016
-0.087,-0.1025,0.0155
-0.0835,-0.103,0.0185
-0.084,-0.1035,0.0155
-0.0815,-0.103,0.017
-0.081,-0.104,0.0185
-0.0865,-0.104,0.014
-0.086,-0.1045,0.0165
-0.086,-0.104,0.02
-0.086,-0.105,0.019
-0.088,-0.106,0.0175
-0.093,-0.106,0.013
-0.0955,-0.109,0.0125
-0.0965,-0.108,0.015
-0.0905,-0.105,0.012
-0.0865,-0.1055,0.0115
-0.09,-0.107,0.011
