i,vx,vy
-0.363,0.004,0.048
-0.368,0.0045,0.0495
-0.366,0.006,0.049
-0.3595,0.0065,0.0525
-0.358,0.0045,0.051
-0.3605,0.003,0.0485
-0.3625,0.004,0.05
-0.3695,0.005,0.053
-0.3705,0.005,0.057
-0.3695,0.0065,0.0585
-0.3705,0.0055,0.0575
-0.368,0.007,0.0555
-0.362,0.0085,0.0545
-0.3585,0.008,0.052
-0.359,0.0085,0.0525
-0.355,0.0105,0.055
-0.3565,0.01,0.0545
-0.358,0.0075,0.0535
-0.3545,0.008,0.05
-0.355,0.006,0.048
-0.36,0.004,0.051
-0.361,0.0015,0.0475
-0.362,0.001,0.045
-0.365,0.0015,0.0455
-0.3655,0.0015,0.0435
-0.3655,0.0,0.0465
-0.359,-0.001,0.047
-0.3555,0.001,0.0475
-0.351,0.0035,0.048
-0.346,0.0065,0.048
-0.351,0.006,0.0515
-0.352,0.004,0.051
-0.3515,0.004,0.0505
-0.3525,0.008,0.052
-0.3545,0.0105,0.051
-0.3495,0.0115,0.0515
-0.349,0.011,0.055
-0.3545,0.01,0.055
-0.349,0.0115,0.054
-0.344,0.011,0.051
-0.3445,0.0105,0.0475
-0.344,0.01,0.05
-0.3435,0.01,0.05
-0.3485,0.0085,0.0515
-0.3495,0.007,0.053
-0.3475,0.008,0.052
-0.3435,0.0075,0.0535
-0.345,0.006,0.052
-0.354,0.005,0.058
-0.353,0.0055,0.0585
-0.351,0.007,0.056
-0.347,0.0095,0.0575
-0.3455,0.008,0.056
-0.351,0.006,0.0535
-0.3515,0.008,0.0525
-0.341,0.0095,0.058
-0.3315,0.01,0.056
-0.3355,0.0105,0.055
-0.339,0.0105,0.0565
-0.3405,0.0115,0.052
-0.3395,0.0125,0.051
-0.3395,0.013,0.051
-0.341,0.0115,0.051
-0.342,0.008,0.053
-0.343,0.0055,0.054
-0.344,0.004,0.055
-0.3405,0.0045,0.0565
-0.3385,0.004,0.056
-0.347,0.0015,0.0575
-0.345,0.0015,0.059
-0.34,0.0025,0.061
-0.3425,0.004,0.061
-0.342,0.0045,0.0565
-0.3425,0.0045,0.0575
-0.3445,0.0075,0.0575
-0.341,0.0075,0.057
-0.3385,0.0065,0.0575
-0.342,0.0065,0.0555
-0.338,0.006,0.056
-0.3355,0.004,0.054
-0.333,0.006,0.051
-0.3285,0.0105,0.048
-0.3245,0.0115,0.0455
-0.324,0.0105,0.0465
-0.3275,0.01,0.044
-0.326,0.0095,0.044
-0.324,0.0105,0.0445
-0.329,0.0105,0.043
-0.3365,0.0105,0.043
-0.3405,0.0105,0.046
-0.3385,0.009,0.0465
-0.3375,0.0115,0.044
-0.336,0.011,0.045
-0.334,0.011,0.0435
-0.3325,0.0135,0.043
-0.331,0.0125,0.0415
-0.3325,0.0135,0.041
-0.333,0.01,0.0435
-0.3325,0.008,0.043
-0.3385,0.0085,0.0435
-0.3415,0.008,0.0435
-0.3405,0.0075,0.0435
-0.337,0.006,0.0445
-0.3355,0.006,0.0455
-0.3375,0.0065,0.0465
-0.3405,0.005,0.0475
-0.341,0.006,0.047
-0.337,0.008,0.0465
-0.341,0.008,0.0465
-0.343,0.006,0.05
-0.3355,0.0055,0.0495
-0.3335,0.0065,0.0475
-0.3345,0.0065,0.047
-0.3335,0.0055,0.0445
-0.336,0.004,0.044
-0.3365,0.0045,0.044
-0.3355,0.007,0.0435
-0.3365,0.007,0.044
-0.3305,0.0065,0.0405
-0.3265,0.0075,0.04
-0.3285,0.0095,0.0415
-0.326,0.012,0.043
-0.323,0.0125,0.048
-0.319,0.0115,0.048
-0.317,0.0125,0.0475
-0.3245,0.01,0.049
-0.3265,0.0095,0.049
-0.324,0.011,0.0485
-0.33,0.01,0.0505
-0.335,0.0095,0.054
-0.333,0.008,0.0565
-0.3355,0.009,0.057
-0.338,0.0095,0.0535
-0.337,0.008,0.053
-0.338,0.0075,0.0545
-0.3355,0.0085,0.0535
-0.336,0.0085,0.053
-0.337,0.006,0.0535
-0.3335,0.006,0.0535
-0.3335,0.006,0.052
-0.332,0.005,0.0515
-0.331,0.0055,0.052
-0.33,0.0045,0.052
-0.327,0.0065,0.0535
-0.332,0.0075,0.053
-0.339,0.008,0.049
-0.3395,0.0075,0.0495
-0.337,0.0085,0.048
-0.3415,0.01,0.049
-0.344,0.0095,0.0515
-0.337,0.0115,0.0505
-0.333,0.009,0.0525
-0.329,0.01,0.0495
-0.3275,0.0095,0.0495
-0.3265,0.0095,0.0505
-0.3245,0.0135,0.05
-0.3305,0.013,0.0545
-0.331,0.013,0.0525
-0.3275,0.014,0.05
-0.3275,0.015,0.0485
-0.328,0.016,0.049
-0.3275,0.0175,0.0495
-0.329,0.016,0.0485
-0.331,0.0155,0.049
-0.3305,0.0145,0.0495
-0.335,0.0115,0.0475
-0.337,0.01,0.0475
-0.333,0.012,0.0475
-0.333,0.0125,0.049
-0.3335,0.0105,0.052
-0.334,0.0095,0.056
-0.3325,0.009,0.0555
-0.329,0.0105,0.0525
-0.3315,0.0105,0.054
-0.3365,0.009,0.0555
-0.336,0.0085,0.0555
-0.339,0.0085,0.0575
-0.3415,0.008,0.06
-0.3375,0.0085,0.059
-0.3375,0.0095,0.0575
-0.335,0.009,0.0565
-0.331,0.0105,0.0565
-0.332,0.013,0.0575
-0.3325,0.01,0.057
-0.334,0.0085,0.0555
-0.335,0.0085,0.055
-0.3315,0.007,0.057
-0.3315,0.0065,0.0585
-0.335,0.007,0.057
-0.336,0.008,0.0595
-0.3405,0.009,0.064
-0.338,0.01,0.063
-0.3305,0.0115,0.062
-0.3325,0.013,0.0605
-0.335,0.0145,0.06
-0.329,0.016,0.0605
-0.3295,0.0135,0.0635
-0.334,0.013,0.064
-0.332,0.013,0.061
-0.334,0.012,0.06
-0.333,0.011,0.057
-0.3325,0.0085,0.06
-0.335,0.0075,0.061
-0.3375,0.006,0.0605
-0.3375,0.007,0.064
-0.3365,0.008,0.0655
-0.3315,0.008,0.0665
-0.325,0.0075,0.0635
-0.328,0.0055,0.0675
-0.331,0.0065,0.0725
-0.3395,0.0055,0.075
-0.341,0.005,0.077
-0.336,0.007,0.075
-0.336,0.01,0.073
-0.3325,0.0125,0.0725
-0.3285,0.014,0.071
-0.3255,0.015,0.0675
-0.3255,0.0175,0.0665
-0.3225,0.0195,0.067
-0.3225,0.0205,0.065
-0.3215,0.021,0.0645
-0.3165,0.0215,0.0645
-0.3185,0.027,0.063
-0.3185,0.03,0.06
-0.3165,0.0305,0.059
-0.3135,0.0335,0.06
-0.303,0.0385,0.059
-0.2975,0.042,0.066
-0.3005,0.045,0.073
-0.2985,0.048,0.0755
-0.304,0.0475,0.0785
-0.305,0.051,0.0825
-0.3005,0.056,0.084
-0.2995,0.058,0.085
-0.2935,0.0615,0.091
-0.287,0.0655,0.0915
-0.285,0.0675,0.0925
-0.2845,0.067,0.0955
-0.282,0.0685,0.093
-0.2845,0.071,0.09
-0.2845,0.074,0.088
