i,vx,vy
0.031,-0.3415,-0.698
0.029,-0.338,-0.6985
0.03,-0.337,-0.696
0.0275,-0.336,-0.694
0.0295,-0.3355,-0.6925
0.033,-0.336,-0.6975
0.0345,-0.3345,-0.6975
0.0355,-0.335,-0.688
0.034,-0.3355,-0.6875
0.0315,-0.3345,-0.687
0.033,-0.3315,-0.685
0.0345,-0.3275,-0.685
0.033,-0.329,-0.683
0.0355,-0.33,-0.6905
0.0365,-0.329,-0.6905
0.036,-0.3285,-0.686
0.0385,-0.3265,-0.687
0.039,-0.324,-0.683
0.043,-0.323,-0.683
0.044,-0.324,-0.684
0.042,-0.324,-0.6835
0.0415,-0.3225,-0.688
0.04,-0.321,-0.688
0.038,-0.319,-0.6855
0.0355,-0.3185,-0.681
0.0415,-0.315,-0.676
0.0415,-0.315,-0.6745
0.041,-0.3155,-0.674
0.039,-0.313,-0.6765
0.0365,-0.3125,-0.6765
0.0365,-0.3095,-0.6755
0.036,-0.3095,-0.6765
0.0375,-0.3105,-0.6755
0.035,-0.3095,-0.675
0.0385,-0.307,-0.674
0.038,-0.306,-0.6715
0.035,-0.305,-0.6695
0.0355,-0.3035,-0.6695
0.0345,-0.3035,-0.667
0.0355,-0.303,-0.6595
0.0345,-0.302,-0.6595
0.038,-0.301,-0.6665
0.0405,-0.298,-0.669
0.039,-0.295,-0.665
0.0395,-0.2935,-0.654
0.038,-0.29,-0.6535
0.0395,-0.288,-0.661
0.0415,-0.2865,-0.6625
0.043,-0.283,-0.6565
0.0455,-0.2775,-0.6465
0.045,-0.2775,-0.6445
0.0395,-0.281,-0.65
0.0405,-0.279,-0.647
0.048,-0.2745,-0.6455
0.0485,-0.272,-0.6455
0.0485,-0.2705,-0.6445
0.0465,-0.268,-0.646
0.045,-0.264,-0.642
0.045,-0.262,-0.638
0.0465,-0.261,-0.639
0.0485,-0.2575,-0.6365
0.0495,-0.255,-0.6355
0.0515,-0.2515,-0.6395
0.0525,-0.248,-0.639
0.0575,-0.244,-0.635
0.0565,-0.2415,-0.6325
0.056,-0.2395,-0.634
0.0585,-0.2385,-0.6325
0.06,-0.2365,-0.6295
0.0635,-0.231,-0.625
0.061,-0.2285,-0.622
0.0585,-0.227,-0.621
0.059,-0.2235,-0.6205
0.066,-0.22,-0.6195
0.07,-0.2165,-0.617
0.068,-0.214,-0.614
0.0695,-0.211,-0.609
0.0675,-0.207,-0.6085
0.068,-0.2035,-0.6045
0.0715,-0.1995,-0.603
0.073,-0.195,-0.606
0.077,-0.1905,-0.603
0.079,-0.187,-0.5995
0.0755,-0.183,-0.5945
0.071,-0.1785,-0.5905
0.071,-0.173,-0.589
0.0745,-0.1705,-0.584
0.0785,-0.1675,-0.5755
0.0835,-0.1625,-0.574
0.083,-0.159,-0.5715
0.08,-0.1545,-0.568
0.0795,-0.151,-0.5675
0.084,-0.1455,-0.5595
0.0895,-0.141,-0.5595
0.09,-0.1355,-0.559
0.092,-0.129,-0.5525
0.094,-0.125,-0.548
0.0925,-0.121,-0.5475
0.0925,-0.116,-0.546
0.096,-0.1115,-0.5415
0.099,-0.108,-0.5405
0.096,-0.102,-0.5365
0.095,-0.0985,-0.531
0.099,-0.092,-0.527
0.1005,-0.085,-0.5235
0.1025,-0.0815,-0.5205
0.1005,-0.077,-0.5185
0.1015,-0.0705,-0.5135
0.1055,-0.065,-0.51
0.1035,-0.0605,-0.5045
0.103,-0.0575,-0.497
0.1025,-0.054,-0.4955
0.106,-0.0465,-0.492
0.1125,-0.0415,-0.491
0.112,-0.0365,-0.49
0.109,-0.033,-0.4855
0.1115,-0.0305,-0.4815
0.1135,-0.0265,-0.4785
0.1145,-0.0215,-0.48
0.1155,-0.018,-0.476
0.1175,-0.015,-0.4725
0.1165,-0.01,-0.47
0.112,-0.007,-0.465
0.109,-0.0045,-0.463
0.109,-0.001,-0.4575
0.1115,0.002,-0.455
0.1105,0.0045,-0.4505
0.1095,0.0085,-0.447
0.11,0.0105,-0.4455
0.107,0.009,-0.445
0.1105,0.0115,-0.442
0.1135,0.015,-0.4385
0.1135,0.016,-0.4385
0.117,0.0195,-0.436
0.1165,0.0235,-0.4375
0.115,0.0255,-0.437
0.119,0.027,-0.43
0.122,0.03,-0.424
0.117,0.0315,-0.422
0.116,0.032,-0.4205
0.118,0.0335,-0.4195
0.12,0.0335,-0.4185
0.121,0.0325,-0.4145
0.118,0.031,-0.4115
0.117,0.032,-0.412
0.1175,0.032,-0.418
0.1165,0.03,-0.4225
0.114,0.0275,-0.42
0.1125,0.025,-0.4205
0.1125,0.0215,-0.423
0.1125,0.018,-0.4245
0.108,0.016,-0.4235
0.106,0.014,-0.4285
0.1055,0.0095,-0.4365
0.1025,0.003,-0.438
0.1025,-0.0015,-0.4445
0.1015,-0.0045,-0.4465
0.1,-0.009,-0.4485
0.098,-0.0145,-0.4505
0.097,-0.021,-0.454
0.0995,-0.0275,-0.461
0.0955,-0.035,-0.463
0.087,-0.043,-0.474
0.08,-0.05,-0.4835
0.0795,-0.054,-0.4885
0.08,-0.0595,-0.492
0.077,-0.0695,-0.491
0.071,-0.078,-0.494
0.0655,-0.086,-0.4985
0.067,-0.092,-0.5055
0.0635,-0.1,-0.513
0.059,-0.109,-0.5185
0.0625,-0.114,-0.525
0.062,-0.123,-0.5325
0.059,-0.1305,-0.5335
0.059,-0.1355,-0.5305
0.0625,-0.143,-0.5335
0.06,-0.1515,-0.5425
0.0515,-0.1595,-0.551
0.046,-0.1685,-0.5575
0.039,-0.1755,-0.566
0.038,-0.179,-0.5725
0.037,-0.186,-0.5735
0.0335,-0.192,-0.5755
0.032,-0.1975,-0.577
0.0295,-0.2035,-0.579
0.027,-0.2095,-0.5845
0.0245,-0.2165,-0.588
0.0235,-0.2215,-0.5895
0.024,-0.224,-0.5935
0.0225,-0.2285,-0.596
0.022,-0.235,-0.5965
0.0205,-0.2385,-0.6005
0.022,-0.243,-0.6045
0.025,-0.2475,-0.6075
0.023,-0.2485,-0.611
0.021,-0.252,-0.613
0.022,-0.257,-0.617
0.019,-0.26,-0.62
0.015,-0.264,-0.622
0.0135,-0.268,-0.6235
0.0135,-0.271,-0.629
0.0145,-0.2735,-0.632
0.0085,-0.2755,-0.6295
0.005,-0.279,-0.6305
0.0065,-0.2815,-0.631
0.0045,-0.284,-0.631
0.0045,-0.285,-0.628
0.0065,-0.2845,-0.629
0.003,-0.2865,-0.633
-0.003,-0.2885,-0.634
-0.0065,-0.2915,-0.6335
-0.006,-0.294,-0.633
-0.004,-0.294,-0.6325
-0.0085,-0.296,-0.6365
-0.0075,-0.295,-0.6375
-0.002,-0.2915,-0.634
-0.006,-0.2975,-0.6395
-0.0055,-0.3035,-0.642
-0.0035,-0.3025,-0.642
-0.006,-0.3025,-0.642
-0.0035,-0.302,-0.645
-0.0035,-0.3035,-0.6465
-0.0085,-0.3055,-0.645
-0.0115,-0.306,-0.6445
-0.0085,-0.3065,-0.6435
-0.0055,-0.3065,-0.645
-0.009,-0.3105,-0.6455
-0.012,-0.3095,-0.647
-0.0105,-0.308,-0.648
-0.0095,-0.308,-0.645
-0.0085,-0.304,-0.641
