i,vx,vy
-0.1775,0.0705,0.213
-0.1715,0.0685,0.2135
-0.174,0.0615,0.214
-0.1735,0.0625,0.215
-0.17,0.0645,0.2165
-0.167,0.065,0.2165
-0.1625,0.065,0.2135
-0.1625,0.065,0.2135
-0.164,0.066,0.219
-0.1655,0.0645,0.2265
-0.171,0.0625,0.23
-0.171,0.0645,0.2235
-0.165,0.068,0.2275
-0.1605,0.071,0.2305
-0.1635,0.071,0.224
-0.168,0.0665,0.2235
-0.169,0.0665,0.224
-0.1705,0.069,0.2225
-0.1725,0.0685,0.2175
-0.1735,0.067,0.2155
-0.1735,0.068,0.2195
-0.1715,0.071,0.2215
-0.17,0.0685,0.221
-0.1755,0.065,0.217
-0.1785,0.0655,0.209
-0.178,0.0665,0.21
-0.1795,0.0625,0.2125
-0.1795,0.061,0.211
-0.173,0.064,0.2145
-0.171,0.066,0.214
-0.17,0.0625,0.223
-0.1645,0.0615,0.233
-0.169,0.065,0.2335
-0.1675,0.065,0.234
-0.171,0.065,0.229
-0.181,0.061,0.2215
-0.1775,0.0595,0.216
-0.1745,0.063,0.2155
-0.1665,0.065,0.217
-0.164,0.0655,0.214
-0.1705,0.0635,0.208
-0.1695,0.063,0.2105
-0.172,0.0635,0.2115
-0.1755,0.064,0.2085
-0.171,0.0625,0.2115
-0.166,0.0635,0.2175
-0.1705,0.0655,0.2205
-0.1775,0.061,0.213
-0.175,0.062,0.212
-0.1725,0.0655,0.222
-0.1775,0.063,0.2245
-0.1745,0.064,0.2225
-0.1675,0.0655,0.2245
-0.1685,0.0625,0.2225
-0.171,0.061,0.222
-0.1705,0.06,0.2255
-0.17,0.059,0.229
-0.1695,0.0595,0.226
-0.168,0.064,0.2205
-0.1695,0.066,0.2195
-0.1755,0.064,0.2195
-0.18,0.0615,0.2235
-0.176,0.061,0.221
-0.175,0.061,0.217
-0.173,0.061,0.218
-0.1675,0.0605,0.22
-0.1715,0.0595,0.2185
-0.179,0.056,0.214
-0.181,0.0545,0.215
-0.175,0.0565,0.2155
-0.1665,0.057,0.215
-0.169,0.056,0.2145
-0.1775,0.0535,0.219
-0.183,0.053,0.2225
-0.1805,0.0555,0.222
-0.1755,0.056,0.2255
-0.1815,0.052,0.227
-0.1795,0.054,0.2275
-0.1735,0.0565,0.2255
-0.175,0.0565,0.22
-0.176,0.0575,0.2205
-0.17,0.0545,0.222
-0.1715,0.056,0.217
-0.1725,0.0585,0.2105
-0.1735,0.0565,0.205
