i,vx,vy
-2.0885,-0.0775,0.0315
-2.0925,-0.082,0.0305
-2.089,-0.087,0.0325
-2.091,-0.0905,0.037
-2.095,-0.094,0.035
-2.0955,-0.097,0.0325
-2.095,-0.102,0.0335
-2.093,-0.1025,0.036
-2.0955,-0.1035,0.038
-2.099,-0.106,0.037
-2.0945,-0.104,0.0405
-2.0855,-0.101,0.039
-2.088,-0.102,0.0355
-2.0905,-0.1045,0.0305
-2.091,-0.1055,0.025
-2.0975,-0.107,0.0205
-2.097,-0.108,0.0135
-2.0965,-0.1095,0.0125
-2.1035,-0.1115,0.011
-2.104,-0.113,0.009
-2.102,-0.111,0.0075
-2.1055,-0.111,0.003
-2.1005,-0.113,-0.0005
-2.1025,-0.1135,-0.0015
-2.1035,-0.114,-0.005
-2.099,-0.1165,-0.0085
-2.095,-0.117,-0.0095
-2.0915,-0.1165,-0.006
-2.0885,-0.1145,-0.0025
-2.0845,-0.1135,-0.0015
-2.0875,-0.116,-0.003
-2.0885,-0.117,-0.0045
-2.097,-0.1165,0.0015
-2.097,-0.116,0.0035
-2.095,-0.1185,0.002
-2.102,-0.1195,0.0095
-2.104,-0.1225,0.017
-2.117,-0.1255,0.0245
-2.13,-0.1295,0.028
-2.1405,-0.139,0.023
-2.152,-0.1455,0.017
-2.1625,-0.1525,0.012
-2.1625,-0.1555,0.0045
-2.159,-0.1565,0.0
-2.1615,-0.1605,-0.003
-2.16,-0.16,-0.005
-2.16,-0.1615,-0.004
-2.159,-0.164,-0.006
-2.154,-0.163,-0.0075
-2.153,-0.1635,-0.008
-2.156,-0.1665,-0.0095
-2.1575,-0.1705,-0.0125
-2.166,-0.1755,-0.0155
-2.1705,-0.1785,-0.018
-2.17,-0.18,-0.0205
-2.1765,-0.1805,-0.022
-2.173,-0.1795,-0.0225
-2.1665,-0.18,-0.022
-2.1695,-0.1835,-0.0225
-2.17,-0.185,-0.023
-2.1705,-0.186,-0.025
-2.176,-0.1875,-0.0275
-2.1715,-0.186,-0.026
-2.1705,-0.1865,-0.026
-2.1735,-0.1875,-0.024
-2.1715,-0.1855,-0.021
-2.171,-0.1865,-0.0225
-2.172,-0.1855,-0.0225
-2.1725,-0.1855,-0.022
-2.1705,-0.1865,-0.023
-2.1675,-0.186,-0.0245
-2.167,-0.1855,-0.0245
-2.1715,-0.1845,-0.0235
-2.172,-0.1845,-0.0245
-2.1655,-0.1845,-0.0245
-2.167,-0.186,-0.025
-2.165,-0.1845,-0.0225
-2.159,-0.1825,-0.0225
-2.1595,-0.182,-0.0245
-2.16,-0.1825,-0.024
-2.1605,-0.184,-0.023
-2.161,-0.1845,-0.0215
-2.1585,-0.184,-0.024
-2.162,-0.1845,-0.022
-2.173,-0.186,-0.0185
-2.1745,-0.186,-0.018
-2.167,-0.1845,-0.0175
-2.1675,-0.1865,-0.02
-2.17,-0.1895,-0.0185
-2.1705,-0.188,-0.0165
